Tahun - Kuartal,Jumlah aset lancar,Jumlah liabilitas jangka pendek,Jumlah aset,Jumlah liabilitas,Jumlah ekuitas,Jumlah ekuitas yang diatribusikan kepada pemilik entitas induk,Penjualan dan pendapatan usaha,Jumlah laba bruto,Jumlah laba (rugi),Laba (rugi) yang dapat diatribusikan ke entitas induk,Laba (rugi) per saham dasar dari operasi yang dilanjutkan,Current Ratio,Debt Equity Ratio,Gross Profit Margin,Net Profit Margin,Return on Asset,Return on Equity,Code
2020 - 1,56424520,16795940,214717656,45060440,169657216,157790478,16371749,1618327,-2181127,-2098089,0.0012,3.359414239393568,0.265596955215863,0.0988487546443571,-0.1332250451677459,-0.0371839937672487,-0.0132966768755209,MBSS
2020 - 2,63432325,23876063,217943445,50759514,167183931,155347752,29027847,1502433,-4463009,-4349160,-0.0025,2.656733021687872,0.3036147893902554,0.0517583339887384,-0.153749225700411,-0.0685637803753843,-0.0279962853920152,MBSS
2020 - 3,61321294,25221616,213699090,49571196,164127894,152182424,40852213,1391409,-7510729,-7506255,-0.0043,2.4312991681421208,0.3020278563983767,0.0340595746918288,-0.1838512151104274,-0.1224086204051728,-0.049324059919035,MBSS
2020 - 4,53778617,25504185,194859060,38053795,156805265,144840032,54862833,3881393,-14975954,-14989226,-0.0086,2.1086193109091704,0.242681870407859,0.0707472215297376,-0.2729708471306977,-0.2787209273157768,-0.1034881433884245,MBSS
2021 - 1,51046652,18546430,188272754,32859506,155413248,143248181,15171456,1316606,-1385120,-1585023,-0.0009,2.7523707797134005,0.2114331076846164,0.0867817828427278,-0.0912977633788082,-0.0310504790794115,-0.011064873486945,MBSS
2021 - 2,52284507,16355354,185765255,28594372,157170883,144904186,33384257,5357857,368677,67182,3.8e-05,3.1967823502933657,0.1819317385905378,0.1604905270169709,0.0110434388280679,0.0012849313086188,0.0004636304985695,MBSS
2021 - 3,51407110,11027538,181808570,20293158,161515412,149082308,53763344,11009201,4598933,4130664,0.0024,4.661703274112499,0.125642239020509,0.2047715075163479,0.0855403079094187,0.0803519980018328,0.0277072716099887,MBSS
2021 - 4,44451035,5991075,177639085,8532100,169106985,156493336,73405133,15187464,12142010,11499360,0.0066,7.419542402657286,0.0504538591353869,0.2068992096233924,0.1654109120679612,0.2586972384332558,0.0734814676070296,MBSS
2022 - 1,42757728,6419266,174940308,8612561,166327747,159267279,16115838,2775827,692567,448293,0.0003,6.660843778712395,0.0517806629100795,0.1722421756783606,0.0429743088755297,0.0104844906633018,0.0028147212837107,MBSS
2022 - 2,58404714,8891824,191455803,20799828,170655975,163500565,38598099,9748695,5031786,4692460,0.002681,6.568361452048533,0.1218816276429817,0.2525693039960336,0.1303635704960495,0.0803438571756382,0.0286999619848408,MBSS
2019 - 1,193035011676,133531188612,343144775598,181498739442,161646036156,160962780200,75723829388,24317203869,648957482,1135059807,1.93,1.4456174147966252,1.1228158992209418,0.3211301391587251,0.008570056311796,0.0058800722063059,0.0070516911151115,TIRA
2019 - 2,201186672541,141259006903,351198434848,189703179095,161495255753,160757766335,144413582076,47202876571,498177079,930045942,1.58,1.4242396074549162,1.1746671950855498,0.3268589830155914,0.0034496553013817,0.0046228009552196,0.0057853873141151,TIRA
2019 - 3,188129859250,131385655751,329585104620,173055936889,156529167731,155765915257,212579393417,71396249983,638385295,1458369539,2.48,1.4318904006274529,1.1055826808355729,0.3358568713334678,0.0030030441085497,0.0077519302082824,0.0093625716293183,TIRA
2019 - 4,187332004532,127039580123,340072628309,173464950820,166607677489,161807683064,281109377690,98936924509,1251504315,1251515531,2.13,1.4745955894267342,1.041158207318824,0.3519517040733697,0.0044520190869623,0.0066807352759961,0.007734586561659,TIRA
2020 - 1,184965436879,126344411219,339236050883,172509029055,166727021828,161927058296,67229947888,22934939418,119344339,119375232,0.2,1.4639779875849737,1.0346794848465828,0.3411417104800954,0.0017751663172314,0.000645392101434,0.0007372160851695,TIRA
2020 - 2,184576775410,127487646587,340205781227,173194541577,167011239650,162211253255,134775903192,46685152770,403562161,403570191,0.69,1.447801260367931,1.0370232682540297,0.3463909472266191,0.0029943198408775,0.0021864624631324,0.0024879296775149,TIRA
2020 - 3,194782775710,140152631506,351488136406,184576076829,166912059577,162112039560,190836600192,68586400611,304382088,304356496,0.52,1.3897903565346987,1.1058282864447624,0.3593985668472162,0.0015949880038407,0.0015625431709276,0.001877445357088,TIRA
2020 - 4,171538511236,126018348235,344961267102,182781149392,162180117710,162180102391,251135073681,90210515680,2361587860,2361562006,4.02,1.3612185339559733,1.1270256303478423,0.3592111382840469,0.0094036560699592,0.0137669494096926,0.014561354760441,TIRA
2021 - 1,161746605864,115826834135,333734727725,172510077225,161224650500,161224663354,48599278344,18950564426,-955467210,-955439037,-1.62,1.3964519281903105,1.0699981466233663,0.3899350992799178,-0.0196601110666072,-0.0059070113520858,-0.0059261344829242,TIRA
2021 - 3,188686067443,139500427983,358883309944,196560061787,162323248157,162323151888,175844102582,64379214510,143130447,143049497,0.24,1.3525841473833609,1.2109174996109364,0.366115289422223,0.0008139621681839,0.000758134921876,0.0008812636727181,TIRA
2019 - 1,1321299825221,365528611522,2868290987703,897643578069,1970647409634,1970647409634,547898485239,103385357269,41170256897,41170256897,3.99,3.61476443586544,0.4555069433936513,0.1886943659351459,0.0751421257882124,0.0311589058827839,0.0208917418183125,TOTO
2019 - 2,1225748148578,308920322386,2766391375426,856311409374,1910079966052,1910079966052,989739005744,178442747386,63162813315,63162813315,6.12,3.967845621520528,0.4483118113342317,0.1802927300534773,0.0638176458121095,0.0515300091525944,0.0330681513013055,TOTO
2019 - 3,1283922775369,331358294313,2832423353484,901165782515,1931257570969,1931257570969,1520369467267,272841138984,89832200527,89832200527,8.7,3.874726534402699,0.4666212296389052,0.1794571285849724,0.0590857699138627,0.0699669810757755,0.0465148729394635,TOTO
2019 - 4,1339772262044,366190601907,2918467252139,994204688438,1924262563701,1924262563701,2056096661320,385005804925,140597500915,140597500915,13.62,3.658674622087261,0.5166678951160449,0.1872508292863181,0.0683807836275252,0.1049413433149451,0.0730656530804112,TOTO
2020 - 1,1422768611818,404327532527,3372283626973,1390196465156,1982087161817,1982087161817,482899438595,98319789672,57824598116,57824598116,5.6,3.5188516669291894,0.7013800865758054,0.2036030316333816,0.1197445958608714,0.0406423065814702,0.0291735899560499,TOTO
2020 - 2,1340572913221,343299577187,3207371538225,1201347562008,2006023976217,2006023976217,763964776866,92986556673,-12319058883,-12319058883,-1.19,3.904965232423725,0.5988699917104306,0.1217157642456465,-0.016125166049587,-0.009189398623161,-0.0061410327239615,TOTO
2020 - 3,1267156636921,322697816573,3114076878551,1181480609815,1932596268736,1932596268736,1146926066897,89717820756,-54786766364,-54786766364,-5.31,3.926759252287493,0.6113437291213123,0.0782245894879091,-0.047768350502509,-0.0432359858029261,-0.0283487903036431,TOTO
2020 - 4,1346577922442,311318199889,3107410113178,1183847184535,1923562928643,1923562928643,1622319756389,202644575243,-30689667468,-30689667468,-2.97,4.32540700454429,0.6154449989167544,0.1249103787616144,-0.0189171507941873,-0.0227908589295335,-0.0159545949919352,TOTO
2021 - 1,1449438986607,384550951948,3196860502159,1261041529636,1935818972523,1935818972523,464712322400,59413169499,12256043880,12256043880,1.19,3.7691727956065417,0.6514253385958161,0.127849352459951,0.0263733998201378,0.0084557156204899,0.006331193181781,TOTO
2021 - 2,1362716158622,357543325306,3138886680214,1242739905174,1896146775040,1896146775040,856601482287,120657974100,24183846397,24183846397,2.34,3.811331556688221,0.6554027997900025,0.1408566020430655,0.0282323191088027,0.0177467965313151,0.0127542059060748,TOTO
2021 - 3,1422109308913,351783207309,3174276888043,1247346145581,1926930742462,1926930742462,1303297357021,207261701775,54967813819,54967813819,5.33,4.042573037501033,0.6473227698818543,0.1590287133311975,0.0421759574074808,0.0386523127824928,0.0285260972839992,TOTO
2021 - 4,1474741239928,407181217569,3262675759061,1228239284173,2034436474888,2034436474888,1831956807551,365148541925,160987891641,160987891641,15.6,3.621830222751112,0.6037245691048757,0.199321589035245,0.0878775585633004,0.1091634839267529,0.0791314418651792,TOTO
2022 - 1,1560670717909,391174544558,3346076831323,1220564997741,2125511833582,2125511833582,559833894478,158997664563,91075358694,91075358694,8.83,3.989704186074913,0.5742452140029037,0.2840086427979723,0.1626828235880938,0.0583565499428499,0.0428486716728911,TOTO
2019 - 1,607368346494,461738181270,1299692354083,475379119709,824313234374,824303126907,269641365194,21045913042,2841950321,2842127569,3.0,1.3153955447726842,0.5766971824369803,0.078051500098503,0.0105397416266428,0.0046794133830088,0.0034479155497861,KBLM
2019 - 3,595254980260,454929437495,1305832823725,469757673914,836075149811,836075149811,827896967861,74741311369,25814150473,25814150473,23.0,1.308455622343723,0.5618605863601994,0.0902785180650024,0.0311803901633978,0.0433665426230028,0.030875394967588,KBLM
2019 - 4,575917900166,422310102458,1284437358420,436010329994,848427028426,848427028426,1149120504681,106279676641,38648269147,38648269147,35.0,1.3637322356579826,0.5139043375396531,0.0924878428398626,0.0336329122921089,0.067107254585871,0.0455528499825143,KBLM
2020 - 1,536066853703,380818822807,1245672743977,394636164965,851036579012,851036579012,257102901735,21197085351,2609550586,2609550586,2.0,1.4076690058324142,0.4637123417458128,0.0824459203220046,0.0101498293811156,0.0048679573601202,0.0030663201210804,KBLM
2020 - 2,449274023392,290910473758,1156715579148,305670062224,851045516924,851045516924,441192743727,34190978939,2618488498,2618488498,2.0,1.5443721141705542,0.3591700515958383,0.0774966937356444,0.0059350216775556,0.0058282659616741,0.0030767901903345,KBLM
2020 - 3,374065904848,226538657175,1079375837548,241113877181,838261960367,838261960367,657966276239,41248463120,1034931941,1034931941,1.0,1.6512232813273715,0.2876354750434313,0.0626908469470202,0.0015729255105835,0.0027667101641368,0.0012346163728423,KBLM
2020 - 4,320497087517,168071546757,1026762882496,185150026551,841612855945,841612855945,883822892518,50318134188,6563771460,6563771460,6.0,1.906908657063642,0.2199942945775292,0.0569323725533339,0.0074265687340366,0.0204799722545118,0.0077990389686121,KBLM
2021 - 1,368471860867,219500841287,1070705353299,236718974959,833986378340,833986378340,300976804964,157882035,-6983559525,-6983559525,-6.0,1.6786808592921,0.283840337332817,0.0005245654561948,-0.0232029824551938,-0.018952762114773,-0.0083737093391145,KBLM
2021 - 2,408888661346,264497181939,1107479404960,281870829489,825608575471,825608575471,607285651057,8962091426,-9761362394,-9761362394,-9.0,1.5459093301050764,0.3414097647038077,0.014757620915958,-0.0160737576740205,-0.0238729104442932,-0.0118232328054868,KBLM
2021 - 3,442007695410,295247085693,1137637160918,312765755121,824871405797,824871405797,895402354193,17676434070,-10448132068,-10448132068,-9.0,1.4970772509829369,0.3791691079639283,0.0197413307964007,-0.011668644848959,-0.0236378963002181,-0.0126663768371324,KBLM
2021 - 4,412346379347,266614137737,1497181021456,283750515897,1213430505559,1213430505559,1214204113826,24043708966,-12999702678,-12999702678,12.0,1.5466035779158749,0.2338415876286896,0.0198020322054727,-0.0107063569707711,-0.0315261715128591,-0.0107131826820286,KBLM
2022 - 1,518679046684,358320897259,1599181949895,376250385106,1222931564789,1222931564789,473453868893,21639322852,9501059230,9501059230,8.0,1.44752664623155,0.3076626656299585,0.0457052403069293,0.0200675500914477,0.0183178003637159,0.0077690849623619,KBLM
2019 - 2,1410243226,509861421,1701108313,1126081062,575027251,575027251,812038701,127238795,72621924,72621924,20173.0,2.7659343655263533,1.9583090367312,0.1566905553187421,0.0894316045658518,0.0514960275370257,0.1262930128506205,SCPI
2019 - 3,1086217877,174499423,1390256382,791030328,599226054,599226054,1435739873,206570654,96820727,96820727,26895.0,6.224764863549147,1.32008667300037,0.1438774933291833,0.0674361204426896,0.0891356412466778,0.1615762972148737,SCPI
2019 - 4,1114801181,187601510,1417704185,800703906,617000279,617000279,1841268073,304251722,112652526,112652526,31292.0,5.942389168402749,1.2977367000509898,0.1652403180511782,0.0611820340839636,0.1010516744330575,0.1825809968555946,SCPI
2020 - 1,1471999465,646312052,1781250380,1078156798,703093582,703093582,698636378,143276253,86093303,86093303,86093303.0,2.2775367725929394,1.5334470767505883,0.2050798634479351,0.1232304897240836,0.0584873194909754,0.122449280158555,SCPI
2020 - 2,1453438800,565212364,1762702209,1018088922,744613287,744613287,1329408145,179806183,127613008,127613008,35448.0,2.571491518186251,1.367272032039364,0.1352528068044896,0.09599234703049,0.0878007440010546,0.171381588574849,SCPI
2021 - 1,969089163,348943353,1468250008,588755025,879494983,879494983,372612817,54104405,27319301,27319301,27319301.0,2.7772105548604618,0.6694239721433408,0.1452027480847498,0.0733181998943423,0.0281906991049491,0.0310624864587772,SCPI
2019 - 4,662368557132,617963023345,1195198550046,676354599940,518843950106,526389718493,1085328207907,463157185838,97724305744,111790475821,53.0,1.0718579140004774,1.3035800066702532,0.4267438941176835,0.090041247460486,0.16877382631966,0.2123720731876084,IFSH
2020 - 1,701784432083,346823630616,1263171660850,801593258996,461578401854,481254906383,52485099716,13952438575,-57237222687,-45098049313,-21.0,2.02346198509181,1.7366351106903584,0.2658361830404719,-1.0905423252830615,-0.0642619688486709,-0.0937092769649798,IFSH
2020 - 2,686937233035,648343537686,1215104352477,725826455670,489277896807,501413222548,80351510049,30148297016,-29425565039,-24838840599,-12.0,1.059526613755949,1.483464633098496,0.3752051081257209,-0.3662104796917405,-0.0361588212204745,-0.0495376657056988,IFSH
2020 - 3,709298443123,669790977279,1248171041448,748322973091,499848068357,515119835708,182506460581,89253190900,-27291602956,-17421839886,-6.0,1.058984768657974,1.4971008601688442,0.4890412679960316,-0.1495377361936589,-0.0245620726436288,-0.033820945493304,IFSH
2020 - 4,699548834513,530351284499,1134528730678,591543836198,542984894480,558945604288,396573481850,200334226232,23481357082,31935192392,15.0,1.319029207544644,1.0894296364625455,0.5051629405411793,0.059210608264729,0.045651126578221,0.0571347053219604,IFSH
2021 - 1,688674880000,509803188429,1127376374947,571567361022,555809013925,575845038097,255078001977,115151640184,12824119445,16899433809,8.0,1.350864207268314,1.0283520898405696,0.451436969442716,0.0502752857777062,0.0245390594310627,0.0293471901135897,IFSH
2021 - 2,663332614960,467509908350,1111535662121,529507941080,582027721041,603207195184,488043326983,240528745541,39042826561,44261590896,21.0,1.4188632221745296,0.9097641262394436,0.4928430166803168,0.0799986894654539,0.0667260886888081,0.0733770937239875,IFSH
2021 - 3,616315697104,451122532092,1079595707648,500920255210,578675452438,603884432399,672065560577,311445970682,35690557958,44938828111,21.0,1.3661824742957225,0.8656324596102842,0.4634160548482933,0.0531057683231945,0.0729152743020543,0.0744162718891019,IFSH
2021 - 4,557958653905,281951052902,1009751983088,333286713847,676465269241,676311227107,906259459175,435712000993,159076942627,169518270736,80.0,1.9789202706007776,0.4926885813678958,0.4807806380190988,0.1755313459258272,0.3038186961517453,0.2506512740608109,IFSH
2022 - 1,560999836062,309738365775,1075671445934,362639080018,713032365916,712879022506,279366724814,153850435322,36567096675,36567795399,17.0,1.8112055142355896,0.508587123604318,0.5507113827691266,0.1308928137355874,0.0651832550534981,0.0512959341550721,IFSH
2019 - 1,9910614211,7276242215,12288850958,7396474704,4892376254,4737325598,7123771039,646961165,56538815,47377853,15.0,1.362051168468421,1.5118368498237749,0.0908172316962642,0.007936641238253,0.0047805163223298,0.0100009703829523,ERAA
2019 - 2,8766335361,6207096099,11140089595,6337726185,4802363410,4641698772,15428962522,1252711902,124402564,109181093,34.0,1.4123086256731725,1.3197098269995355,0.0811922318311273,0.0080629247639052,0.0124545877500567,0.0235217962997965,ERAA
2019 - 3,7211682501,4827345200,9827222612,4973471652,4853750960,4698034591,23612642145,1849584013,175992811,165595265,52.0,1.4939230989737382,1.0246656025384542,0.0783302436737962,0.0074533298696209,0.0229620847807759,0.0352477747433426,ERAA
2019 - 4,6944525743,4615531135,9747703198,4768986646,4978716552,4821803944,32944902671,2849023533,325583191,295066452,92.0,1.504599479426976,0.9578747044927172,0.0864784322312742,0.0098826575464919,0.0424890716687778,0.0611942035443322,ERAA
2020 - 1,6353828457,4425963067,9943688333,4760073753,5183614580,4935723026,7806510259,778059782,110183822,102703498,32.33842791984314,1.4355809935184891,0.9182923767839236,0.0996680662915913,0.0141143505028986,0.0161640338097028,0.0208081971899531,ERAA
2020 - 2,5888628217,3529449917,9063284429,3908043301,5155241128,4925214205,14462733175,1333994207,124228413,113424529,36.0,1.6684266260973837,0.7580718736460236,0.0922366603088492,0.0085895529909062,0.0192616216918827,0.0230293595931022,ERAA
2020 - 3,6409629330,4046498465,9789096428,4411701508,5377394920,5117209560,23170198294,2177437427,329732531,295115843,93.0,1.5839940099915495,0.8204161259556514,0.0939757786865317,0.0142308894734571,0.0460425756008577,0.0576712443646728,ERAA
2020 - 4,7546995255,5142950705,11211369042,5523372852,5687996190,5408794245,34113454845,3410012610,671172137,612004625,192.0,1.4674446028935837,0.9710577622591552,0.099960928187835,0.0196747043080092,0.0810924883773495,0.1131499179444198,ERAA
2021 - 1,7963878860,5668329112,11984972901,6062201984,5922770917,5636139677,10847828811,1198799435,315816702,278197933,17.0,1.4049782048011752,1.023541526247418,0.1105105414075472,0.0291133559998433,0.0349324666899817,0.0493596590828421,ERAA
2021 - 2,7476811867,5071133672,11476434741,5478850033,5997584708,5696566120,21353891866,2188512497,614086854,558544699,35.0,1.4743866659013205,0.9135094041592984,0.1024877577695606,0.0287576081144139,0.0747035914418575,0.0980493664488528,ERAA
2021 - 3,6848496795,4547882140,11129172907,4945886000,6183286907,5853240861,31180635330,3022045950,799292894,719205439,45.0,1.505865056344666,0.7998797523693817,0.0969206020985846,0.0256342722186604,0.1050165402026737,0.1228730298443804,ERAA
2021 - 4,6624347489,4279452623,11372225256,4909863586,6462361670,6138939787,43466976696,4805886808,1117917248,1012375634,64.0,1.547942709634713,0.7597630458835029,0.1105640919452825,0.0257187716509134,0.1528264686719848,0.1649105006932689,ERAA
2022 - 1,8962196050,6954500986,14212428742,7436942183,6775486559,6438920670,11479691265,1278566916,300185592,295094715,19.0,1.2886900250703337,1.0976248153162338,0.1113764200173374,0.0261492739717856,0.0329266078708465,0.0458298416961238,ERAA
2019 - 1,3171095,2992117,5265108,3484285,1780823,1780823,1927379,1195460,142510,142510,50.0,1.0598165111858928,1.956558849475776,0.6202516474445348,0.0739397907728578,0.0449403124157428,0.0800247975233922,LPPF
2019 - 2,3050209,3008911,5220296,3514021,1706275,1706275,5950332,3729800,1161967,1161967,408.0,1.0137252314874052,2.059469311804955,0.6268221672336939,0.1952776752624895,0.3809466826699416,0.6809963223982066,LPPF
2019 - 3,2570250,2527390,4730217,3051217,1679000,1679000,7829844,4746991,1186521,1186521,417.0,1.0169582058962012,1.8172823108993448,0.6062689116156081,0.1515382681953816,0.4616364166909834,0.7066831447290054,LPPF
2019 - 4,2748781,2597839,4832910,3086283,1746627,1746627,10276431,6156348,1366884,1366884,492.0,1.058102907839939,1.766996044375817,0.5990745230518261,0.1330115484646372,0.4972691531264222,0.7825849480169492,LPPF
2020 - 1,3777706,4314496,9216040,7900233,1315807,1315807,1549172,917769,-93954,-93954,-36.0,0.8755845410448868,6.004097105426555,0.5924255021392073,-0.06064788157803,-0.0248706490129194,-0.0714040888975358,LPPF
2020 - 2,3450807,4125092,8680864,7628972,1051892,1051892,2253147,1350179,-357869,-357869,-136.0,0.8365406153365792,7.252619090172756,0.5992414165609257,-0.158830737630523,-0.1037058867679357,-0.3402145847672574,LPPF
2020 - 3,2675439,3352224,7443364,6650211,793153,793153,3328419,1960712,-616608,-616608,-234.0,0.7981086586099259,8.384524801646089,0.5890820837160226,-0.1852555222164036,-0.2304698406504502,-0.7774136894142745,LPPF
2020 - 4,1610213,2856300,6319074,5737956,581118,581118,4839058,2830352,-873181,-873181,-332.0,0.5637408535517978,9.87399461038894,0.5848973085257503,-0.1804444170745628,-0.5422767050073499,-1.502588114634205,LPPF
2021 - 1,1816372,3470913,6318788,5891260,427528,427528,1162246,689426,-95350,-95350,-36.0,0.5233124541006934,13.779822608109878,0.5931842312212733,-0.0820394305508472,-0.0524947532774123,-0.2230263281001478,LPPF
2021 - 2,1961362,2453487,6700199,5313599,1386600,1386600,3569837,2273583,532482,532482,202.0,0.7994181342717528,3.832106591663061,0.6368870623504659,0.1491614323006904,0.2714858348433384,0.3840199048031155,LPPF
2021 - 3,1386469,1908657,5775648,4716891,1058757,1058757,4084782,2600320,438694,438694,168.0,0.7264107694572676,4.45512143012986,0.636587215670261,0.1073971634226747,0.3164109691597865,0.4143481459862839,LPPF
2021 - 4,1513483,2070044,5851229,4845257,1005972,1005972,5585975,3579466,912854,912854,351.0,0.7311356666814811,4.816492904375072,0.6407952058503663,0.1634189197051544,0.6031478384626718,0.907434799378114,LPPF
2022 - 1,1978104,3051876,6291642,5793603,498039,498039,1287260,850347,145047,145047,59.0,0.6481600169862733,11.632829959099588,0.6605868278358684,0.1126788682938955,0.0733262760704189,0.2912362284881304,LPPF
2019 - 1,10344206,6886601,15661468,7366105,8295363,8295363,5041876,728327,-83299,-83299,-2.29,1.5020771495255787,0.8879786213092784,0.1444555558288224,-0.016521429721794,-0.0080527205278007,-0.0100416341032936,RMBA
2019 - 2,9539757,6682002,15170340,7183440,7986900,7986900,10215007,1525210,-380592,-380592,-10.46,1.427679458940599,0.8994027720392143,0.1493107151076842,-0.0372581242479814,-0.0398953558251012,-0.0476520301994516,RMBA
2019 - 3,10527867,4844147,15749072,7369568,8379504,8379504,14914071,2312062,11252,11252,0.31,2.1733169947154782,0.8794754438926218,0.1550255460095369,0.0007544553059992,0.001068782498867,0.0013428002421145,RMBA
2019 - 4,11598066,6083396,17000330,8598687,8401643,8401643,20834699,3085131,50612,50612,1.39,1.906511757577511,1.0234530317462909,0.1480765812839437,0.0024292167599829,0.0043638310042381,0.0060240598178237,RMBA
2020 - 1,10424253,4950071,15968610,7613992,8354618,8354618,4273155,701558,-43290,-43290,1.19,2.1058794914254766,0.9113513029560418,0.1641779902671445,-0.0101306879811286,-0.0041528155542656,-0.0051815654527831,RMBA
2020 - 2,10039771,4521691,15433345,7183957,8249388,8249388,7595760,1110666,-165440,-165440,-4.54,2.2203576051525857,0.8708472677003434,0.1462218395525925,-0.0217805723192939,-0.016478463502803,-0.0200548210364211,RMBA
2020 - 3,9157458,4154548,14592291,6734735,7857556,7857556,10411837,969274,-563865,-563865,-15.49,2.204200793925115,0.857103022873779,0.0930934665996019,-0.0541561493903525,-0.0615744019792392,-0.071760863046983,RMBA
2020 - 4,8283505,3735768,12464005,6755055,5708950,5708950,13890914,1389285,-2666991,-2666991,-73.27,2.217349953209086,1.1832394748596502,0.1000139371678494,-0.1919953575409076,-0.3219640719719491,-0.4671596353094702,RMBA
2021 - 1,7395762,2820955,11476592,5701066,5775526,5775526,2228208,259558,-20279,-20279,-0.56,2.621722785368785,0.9871076677691348,0.1164873297286429,-0.0091010354509094,-0.0027419757423237,-0.0035111953439392,RMBA
2021 - 2,6715801,2079356,10668854,4944767,5724087,5724087,4840286,451517,-28900,-28900,-0.79,3.2297504612004877,0.8638525235552849,0.0932831241790257,-0.0059707215648,-0.0043032841503195,-0.0050488401032339,RMBA
2021 - 3,5491314,2560970,9378223,3611393,5766830,5766830,6661133,856223,-8176,-8176,-0.22,2.144232068317864,0.6262353840844971,0.1285401447471473,-0.0012274188189907,-0.0014888968287007,-0.0014177633119061,RMBA
2021 - 4,5598100,3284496,9392515,3601037,5791478,5791478,8407407,793992,7971,7971,-0.22,1.7044015276620827,0.621782039058078,0.0944395816688784,0.000948092556956,0.0014238759579142,0.0013763326045613,RMBA
2022 - 1,5317283,2947561,9051403,3236988,5814415,5814415,1826386,342506,4298,4298,-0.12,1.8039602912373995,0.5567177437455015,0.187532098910088,0.0023532812888403,0.0008083075510556,0.0007391973225165,RMBA
2019 - 1,156270319,146949019,231301909,161487901,69814008,69808703,81450155,3417802,166247,166290,0.0001,1.0634322029737402,2.313116029665565,0.0419618845415334,0.0020410888106965,0.001064117620442,0.0023820812141431,PTSN
2019 - 2,187384936,174141507,264609124,193722893,70886231,70880969,179159509,8112325,1242728,1242814,0.00078,1.0760498127537164,2.7328705485836875,0.0452799019448083,0.0069364333879704,0.0066324114762352,0.0175338178573715,PTSN
2019 - 3,149408189,134426265,231926233,160225235,71700998,71695779,271048395,12819344,2061872,2062001,0.00043,1.1114508686230329,2.2346304719496373,0.04729540641626,0.007607025306311,0.0138011243814755,0.028760423957455,PTSN
2019 - 4,74769571,62255724,161249768,90698602,70551166,70545990,330130913,14940655,901196,901368,0.00028,1.201007171645775,1.2855719776481087,0.0452567584908354,0.0027298140359245,0.0120552784768552,0.0127770267310728,PTSN
2020 - 1,58340920,44251772,144726001,71069773,73656228,73651103,39862449,6226372,3111661,3111712,0.00065,1.318386075025425,0.9648847752562076,0.1561964243591757,0.0780599556239005,0.0533366974672322,0.042249360474615,PTSN
2020 - 2,61234993,43084536,150382965,69170598,81212367,81207289,71987678,9469862,3008902,3008999,0.00057,1.421275443235596,0.8517249349474078,0.1315483741536989,0.0417974587262003,0.0491385538330999,0.0370533118030821,PTSN
2020 - 3,63934101,44498089,151774913,69244258,82530655,82525626,116056859,15014329,4332713,4332860,0.00082,1.4367830717404515,0.8390125826579227,0.1293704579752584,0.0373326750123402,0.0677707191034093,0.05250320670091,PTSN
2020 - 4,42403847,22463368,129626970,46935875,82691095,82686108,145170395,19735534,4834180,4834369,0.00093,1.8876887472973776,0.5676049518995969,0.1359473741185315,0.0333000402733629,0.1140077927363524,0.0584665201559613,PTSN
2021 - 1,51429050,31157428,139940077,55961515,83978562,83973624,31746417,5176977,1294477,1294526,0.00024,1.6506192359651766,0.666378581238388,0.1630727965300777,0.0407755306685475,0.0251711046577761,0.0154158643909425,PTSN
2021 - 2,54478132,34552716,146368128,60708431,85659697,85654808,75033273,11007421,2982204,2982303,0.00056,1.5766671424613914,0.7087163873577559,0.1467005311097118,0.0397450874893862,0.0547431215152531,0.0348176952308386,PTSN
2021 - 3,55538956,42320050,158762641,71800626,86962015,86957181,113705925,16598495,4291060,4291213,0.00081,1.3123556328501502,0.8256550403069662,0.145977397395958,0.0377382269217721,0.0772649201400184,0.0493485753637758,PTSN
2021 - 4,69941480,56255417,173199932,83419222,89780710,89775951,159945982,22741731,5820485,5820693,0.0011,1.2432843578423745,0.9291441557991688,0.1421838217855325,0.0363903170759237,0.0832223310115828,0.0648357709961769,PTSN
2022 - 1,50373424,33987598,153083391,61472622,91610769,91606066,38075342,5754968,1838264,1838320,0.00035,1.4821119162348573,0.671019604692981,0.1511468498431347,0.0482796451309616,0.0364938464377565,0.0200676666979673,PTSN
2019 - 1,1140618793763,197763388705,2480210059280,263353058568,2216857000712,2206935876693,572906461391,89962208877,22625164859,22646952794,34.51,5.767593290305316,0.1187956906933633,0.1570277435143154,0.039491900307891,0.0198549707560803,0.0102617176299365,INDS
2019 - 2,1150272816476,233054072078,2516121829502,298501864405,2217619965097,2207729597094,1018024481551,149307473709,23388129244,23440673195,35.72,4.935647792890825,0.1346046072379869,0.1466639323658742,0.0229740341886152,0.0203783596893242,0.0106175471968372,INDS
2019 - 3,1014949580871,223200015978,2459427186496,290607278547,2168819907949,2158885947331,1579357058304,220904589115,40213043096,40221994432,61.29,4.547264821750908,0.1339932732459193,0.1398699476812542,0.0254616540854814,0.039629549280155,0.018630902888467,INDS
2019 - 4,959368453499,164608081444,2834422741208,262135613148,2572287128060,2559581774675,2091491715532,310142932694,101465560351,100635879347,153.35,5.8281977718413485,0.1019076021057185,0.1482879087642529,0.0485134890076247,0.1048980493156323,0.0393173136106495,INDS
2020 - 1,1024440329115,179070046384,2893401713601,277988631555,2615413082046,2602694088454,527960034798,89373030230,43125953986,43112313779,65.69,5.720891627615808,0.1062886140102708,0.1692799157879337,0.0816841259632468,0.0420837725280145,0.0165644952168038,INDS
